id,Exam1,Exam2,Exam3,Final,HS_GPA,COMP_ACT_SCORE,TRANS_TOT_CR,BFAS_A_1,BFAS_A_2,BFAS_A_3,BFAS_A_4,BFAS_A_5,BFAS_A_6,BFAS_A_7,BFAS_A_8,BFAS_A_9,BFAS_A_10,BFAS_A_11,BFAS_A_12,BFAS_A_13,BFAS_A_14,BFAS_A_15,BFAS_A_16,BFAS_A_17,BFAS_A_18,BFAS_A_19,BFAS_A_20,BFAS_A_21,BFAS_A_22,BFAS_A_23,BFAS_A_24,BFAS_A_25,BFAS_A_26,BFAS_A_27,BFAS_A_28,BFAS_A_29,BFAS_A_30,BFAS_A_31,BFAS_A_32,BFAS_A_33,BFAS_A_34,BFAS_A_35,BFAS_A_36,BFAS_A_37,BFAS_A_38,BFAS_A_39,BFAS_A_40,BFAS_A_41,BFAS_A_42,BFAS_A_43,BFAS_A_44,BFAS_A_45,BFAS_A_46,BFAS_A_47,BFAS_A_48,BFAS_A_49,BFAS_A_50,BFAS_A_51,BFAS_A_52,BFAS_A_53,BFAS_A_54,BFAS_A_55,BFAS_A_56,BFAS_A_57,BFAS_A_58,BFAS_A_59,BFAS_A_60,BFAS_A_61,BFAS_A_62,BFAS_A_63,BFAS_A_64,BFAS_A_65,BFAS_A_66,BFAS_A_67,BFAS_A_68,BFAS_A_69,BFAS_A_70,BFAS_A_71,BFAS_A_72,BFAS_A_73,BFAS_A_74,BFAS_A_75,BFAS_A_76,BFAS_A_77,BFAS_A_78,BFAS_A_79,BFAS_A_80,BFAS_A_81,BFAS_A_82,BFAS_A_83,BFAS_A_84,BFAS_A_85,BFAS_A_86,BFAS_A_87,BFAS_A_88,BFAS_A_89,BFAS_A_90,BFAS_A_91,BFAS_A_92,BFAS_A_93,BFAS_A_94,BFAS_A_95,BFAS_A_96,BFAS_A_97,BFAS_A_98,BFAS_A_99,BFAS_A_100,BFAS_Withdrawal,BFAS_Volatility,BFAS_5_N,BFAS_Compassion,BFAS_Politeness,BFAS_5_A,BFAS_Industriousness,BFAS_Orderliness,BFAS_5_C,BFAS_Enthusiasm,BFAS_Assertiveness,BFAS_5_E,BFAS_Intellect,BFAS_Openness,BFAS_5_O,SE_1,SE_2,SE_3,SE_4,SE_5,SE_6,SE_7,SE_8,SE_9,SE_10,SE_11,SE_12,SE_13,SE_14,SE_15,SE_16,SE_total,anx_1,anx_2,anx_3,anx_4,anx_5,anx_6,anx_7,anx_8,anx_9,anx_10,anxiety_total,Gender
12997,24,17,26,55,4.64,21,16,3,2,3,2,3,3,4,3,3,5,3,4,3,5,3,2,1,3,2,3,3,4,3,4,3,4,4,2,3,4,2,1,3,4,4,3,1,3,3,4,2,4,3,2,2,3,2,3,3,1,3,2,3,3,4,2,2,4,3,4,3,3,3,2,3,3,1,3,2,3,3,4,1,2,3,2,2,3,3,4,3,3,3,2,3,2,2,3,3,4,4,3,3,3,4,2,1,4,3,5,3.1,3.2,3.15,3.8,4,3.9,2.8,3.1,2.95,2.3,2.8,2.55,3.2,3.5,3.35,3,4,3,6,4,5,5,7,5,5,5,4,5,6,7,5,4.9375,4,3,5,3,3,4,3,5,5,3,3.8,Female
11350,36,36,33,76,3.6,30,0,2,2,4,2,4,3,2,2,4,5,4,3,5,4,2,2,1,2,3,5,2,4,4,4,4,4,4,2,3,4,4,2,4,4,4,2,2,2,2,5,2,4,3,4,2,4,4,4,2,1,4,2,4,3,4,4,5,2,4,2,4,2,2,1,4,4,1,4,2,5,2,4,2,4,4,4,1,2,4,2,2,2,4,2,3,2,2,2,2,2,2,4,4,2,4,2,3,2,2,3,3.6,3.1,3.35,3.9,4.1,4,2.2,2.4,2.3,2.8,3,2.9,3.7,4.4,4.05,3,3,3,6,3,3,3,4,4,3,5,4,4,5,4,5,3.875,2,4,3,3,2,3,3,4,4,2,3,Male
12514,26,26,24,56,3.55,30,0,2,4,5,3,4,2,4,1,3,4,4,3,3,4,3,2,4,5,5,3,3,3,2,3,4,3,4,5,2,2,2,3,3,4,4,4,3,5,3,4,3,2,4,4,4,2,4,2,4,4,5,2,2,3,2,4,4,4,4,4,2,2,4,3,5,2,4,2,3,3,2,4,4,3,4,2,2,1,4,3,2,3,4,3,2,4,2,3,2,4,2,2,4,4,4,2,4,4,3,2,3.1,2.7,2.9,3,3.3,3.15,3.5,4.4,3.95,3,3.1,3.05,3.8,2.7,3.25,7,7,5,5,6,6,4,7,7,7,7,7,7,7,7,7,6.4375,2,3,3,3,2,1,2,3,4,2,2.5,Male
12363,42,45,41,85,4.03,28,0,4,2,5,4,4,2,4,2,4,5,3,4,2,4,3,2,2,4,4,3,4,4,3,3,4,2,3,4,2,4,3,2,3,3,4,4,2,3,4,5,4,4,5,4,4,2,3,3,2,3,4,2,2,2,2,4,3,4,4,3,2,2,3,2,4,2,1,2,3,4,2,4,3,4,4,3,1,2,3,3,4,2,3,4,2,2,2,3,4,2,2,5,4,4,4,2,2,4,3,5,2.8,2.3,2.55,4.1,3.9,4,3.5,3.7,3.6,3.6,3.7,3.65,3.7,3.9,3.8,5,5,5,5,6,6,6,6,6,5,7,5,5,6,5,6,5.5625,4,4,3,3,4,2,3,4,4,2,3.3,Female
11901,48,48,44,92,4,29,0,3,2,4,4,5,4,4,3,4,5,3,4,2,3,2,2,2,4,4,5,3,4,3,2,4,4,4,4,2,4,4,2,3,2,5,3,2,4,4,5,3,4,4,4,2,3,3,2,2,2,4,2,2,2,2,3,3,4,4,2,3,2,4,3,4,3,2,2,4,4,2,4,3,4,4,2,2,2,2,2,3,2,3,4,2,4,1,3,3,2,4,4,3,4,4,3,3,4,2,4,3.4,3.5,3.45,4,3.8,3.9,3.5,3.8,3.65,3.8,3.9,3.85,4.2,4.3,4.25,6,7,7,5,6,7,7,6,6,5,7,5,6,6,5,6,6.0625,2,2,2,1,3,2,1,2,4,1,2,Female
12192,46,42,45,92,3.55,30,40,2,4,4,3,3,2,5,2,5,1,4,5,3,3,2,2,1,5,5,1,2,4,1,3,4,3,5,2,1,3,2,1,4,2,5,4,1,5,3,2,2,5,5,3,1,3,2,4,1,1,4,1,1,2,1,2,4,4,5,3,1,1,5,1,4,3,2,4,4,1,2,5,1,4,4,2,1,1,1,2,5,1,3,4,2,4,1,5,4,3,1,5,1,3,5,2,1,5,1,1,3.3,3.1,3.2,4.6,4.5,4.55,3.8,3.9,3.85,3.6,4.6,4.1,4.3,2.4,3.35,5,7,4,7,5,5,7,5,6,6,7,6,6,7,6,7,6,3,4,4,2,2,1,2,2,4,1,2.5,Female
11635,33,36,30,69,0,26,18,3,4,4,3,4,2,4,3,3,4,3,3,3,2,3,3,4,3,3,1,4,3,3,3,3,2,4,3,4,4,2,3,3,4,3,4,3,4,4,4,3,3,4,4,3,3,3,3,3,4,4,3,3,3,4,4,4,4,4,4,2,2,3,3,3,2,2,3,3,3,3,3,3,4,4,3,2,3,3,3,4,3,4,3,2,3,3,3,3,2,2,3,3,3,4,3,4,4,3,3,2.8,2.5,2.65,3,3.3,3.15,3.1,3.3,3.2,3.2,3.1,3.15,3.3,3,3.15,5,4,4,5,5,5,4,6,5,5,5,5,5,5,4,5,4.8125,1,4,3,3,3,3,3,2,4,3,2.9,Male
13305,40,37,37,81,3.69,26,31,4,1,5,2,5,1,5,3,3,4,4,4,3,3,2,5,3,4,3,4,4,4,2,4,4,3,4,4,3,4,4,2,2,2,4,5,2,5,3,4,4,5,4,3,2,2,4,2,4,1,4,2,2,4,4,5,5,5,3,2,3,2,4,2,3,2,1,5,4,4,3,4,4,2,4,4,1,1,4,2,4,1,2,4,3,1,1,4,2,4,1,4,2,4,4,2,3,4,4,4,2.9,1.6,2.25,4.3,4.3,4.3,4,3.9,3.95,3,2.7,2.85,3.7,3.9,3.8,4,6,3,5,6,5,6,6,4,7,7,6,6,5,6,5,5.4375,4,2,2,2,3,2,2,2,4,2,2.5,Female
12156,34,38,37,59,4.03,25,8,4,4,4,5,4,3,4,1,4,3,3,4,3,2,2,2,5,5,4,5,4,3,5,2,2,4,5,5,4,4,4,2,2,2,1,3,1,5,4,5,5,4,5,4,3,1,1,1,4,4,5,3,1,1,3,3,4,5,4,3,3,1,5,1,3,1,1,1,2,5,3,4,2,5,4,2,2,2,5,3,3,1,4,5,2,2,2,3,2,1,3,5,2,5,4,2,4,5,5,5,2.9,2.7,2.8,3.9,3.5,3.7,3.5,4.7,4.1,4.6,2.6,3.6,3.2,4,3.6,6,6,6,5,7,7,6,7,4,4,5,4,4,5,5,4,5.3125,3,4,2,2,3,1,2,2,5,1,2.5,Female
11778,42,30,35,72,3.79,27,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,3,5,5,5,5,5,6,6,7,6,6,6,6,6,5.375,3,4,4,3,2,2,3,3,5,5,3.4,Female
12710,46,42,38,82,0,29,9,3,2,3,3,4,2,5,2,3,3,4,4,3,2,3,2,1,4,2,3,3,4,2,3,4,3,4,2,3,4,2,2,2,2,3,3,1,4,3,4,2,4,3,4,3,2,3,4,5,3,5,2,2,2,3,3,4,5,4,3,4,2,3,3,3,1,2,4,4,5,1,4,2,5,3,2,1,1,4,3,5,2,4,4,2,2,3,3,2,3,3,4,3,4,3,3,2,5,4,4,3.8,2.7,3.25,4,4.2,4.1,3.1,3.6,3.35,3.8,2.6,3.2,3.3,3.5,3.4,4,7,6,5,5,5,5,6,7,6,7,6,7,7,7,7,6.0625,2,4,3,2,2,1,1,3,4,2,2.4,Female
12334,28,21,36,59,0,30,19,1,2,2,3,3,3,3,3,3,3,5,3,4,3,3,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.4,3.1,3.25,3.1,2.9,3,2.8,3,2.9,3,3,3,3,3,3,3,2,3,5,NA,4,4,3,3,5,2,6,6,7,2,4,NA,3,3,2,4,3,4,3,3,3,2,3,Male
13322,30,19,25,49,0,23,12,5,4,5,5,3,2,5,1,5,5,2,5,1,3,2,2,1,5,5,3,5,5,4,2,3,1,2,5,1,5,1,4,2,3,5,5,1,5,5,5,5,5,5,2,3,1,2,1,1,3,2,2,1,4,1,5,4,5,5,5,1,2,5,1,4,1,1,1,5,4,5,5,4,5,5,4,1,1,1,3,1,2,1,5,2,1,1,3,5,1,1,5,3,5,5,1,5,5,1,5,1.2,1.5,1.35,4.1,3.9,4,4.3,4.8,4.55,3.9,5,4.45,4.1,3.9,4,5,6,6,6,6,6,7,7,6,7,7,7,7,7,7,6,6.4375,2,3,2,2,1,3,2,3,4,2,2.4,Male
11680,41,45,45,93,4.39,33,0,1,3,4,5,5,5,2,4,3,3,4,3,4,4,2,2,4,1,4,4,3,3,4,4,4,4,4,3,3,4,2,3,3,4,4,2,2,2,4,5,1,3,4,4,2,4,3,2,3,3,4,4,3,2,4,2,3,4,4,2,3,3,4,4,4,5,3,3,5,4,4,3,4,4,4,2,4,4,3,3,3,2,5,5,1,4,5,2,4,3,2,2,4,3,3,4,5,4,3,3,3.3,4.2,3.75,2.9,2.5,2.7,2.9,2.7,2.8,3.3,3.6,3.45,3.9,3.6,3.75,5,7,7,5,7,7,5,7,7,7,7,7,7,7,7,7,6.625,1,3,2,2,1,2,1,3,3,3,2.1,Male
11866,49,45,44,93,NA,NA,NA,5,2,3,2,4,4,5,1,5,4,4,3,5,3,5,2,4,5,3,1,2,4,5,2,3,1,5,5,3,4,2,5,4,4,2,5,2,5,3,3,5,4,4,1,5,3,3,1,4,5,5,3,3,2,5,5,2,5,5,5,4,1,1,2,2,3,2,1,5,3,1,5,5,5,4,2,1,1,5,3,5,1,5,5,5,4,1,5,2,3,4,3,4,5,3,4,3,5,4,3,3.5,2.9,3.2,3.7,3.8,3.75,2.3,5,3.65,3.5,3.1,3.3,2.2,2.6,2.4,5,4,6,5,7,7,7,7,5,2,5,2,2,7,6,5,5.125,3,4,4,2,5,2,1,2,5,5,3.3,Female
12170,33,43,44,83,3.95,25,0,2,1,5,4,4,3,5,1,3,5,4,4,2,3,2,3,1,5,3,5,4,4,1,2,4,3,4,5,2,4,2,1,1,3,4,3,1,5,4,4,3,4,5,4,3,2,3,2,2,1,5,1,1,3,3,4,3,5,4,1,4,1,4,2,3,4,2,2,3,5,2,4,4,4,4,2,1,3,1,2,4,1,2,4,2,3,1,4,3,3,3,4,2,5,5,3,2,2,2,4,3.5,3,3.25,4.5,4.3,4.4,4.5,4.2,4.35,3.8,3.7,3.75,3.8,4.4,4.1,6,7,5,5,6,5,6,6,6,5,5,5,5,6,6,5,5.5625,3,3,2,2,1,2,3,2,5,4,2.7,Female
12606,45,36,40,86,3.87,22,0,3,2,5,2,3,1,5,1,2,4,4,4,1,2,4,4,1,4,4,2,5,4,4,2,2,2,1,5,3,3,1,4,2,4,3,5,1,4,3,5,4,5,5,2,4,3,4,2,2,2,5,3,4,2,3,4,4,5,2,3,2,4,3,2,2,4,1,4,4,3,2,4,2,5,2,4,1,1,2,4,4,2,2,5,4,2,2,4,2,4,3,5,4,5,3,3,4,4,4,5,2.9,2.2,2.55,3.7,4,3.85,3.4,4.2,3.8,3.7,3,3.35,2.4,3.3,2.85,5,6,2,2,5,4,3,6,4,3,5,4,5,6,4,7,4.4375,4,5,4,3,5,4,2,4,5,1,3.7,Female
13616,18,20,25,45,0,18,12,3,1,3,4,3,1,5,1,2,4,5,5,4,3,4,5,3,4,3,3,4,4,4,2,3,1,5,3,3,5,5,3,3,4,4,3,1,3,3,3,2,3,4,4,4,4,4,4,4,5,5,5,5,3,4,3,3,4,5,5,4,3,4,1,3,3,3,5,5,3,2,5,3,4,4,4,1,3,4,4,2,1,5,4,4,4,4,4,4,4,5,5,5,5,3,3,3,3,3,3,3.9,2.5,3.2,3.9,3.8,3.85,2.4,3.2,2.8,3.8,3.2,3.5,2.8,2.7,2.75,5,3,4,1,4,4,2,6,4,4,6,4,5,6,5,5,4.25,2,5,5,4,4,5,4,4,3,5,4.1,Male
13306,41,44,33,84,3.33,26,0,2,1,4,5,3,3,4,4,4,3,3,4,3,2,2,2,3,2,3,3,3,3,2,1,3,2,2,4,2,4,1,2,2,2,2,4,2,3,3,2,2,4,3,4,2,2,2,2,3,2,4,2,2,1,2,3,3,2,4,2,2,1,3,1,3,1,3,2,3,4,2,3,3,4,2,3,1,2,3,2,4,2,4,4,3,2,1,3,4,2,2,4,4,4,3,2,3,2,3,3,3.1,2.4,2.75,4,3.4,3.7,3.2,3,3.1,4.4,3.4,3.9,3.1,3.5,3.3,5,6,5,4,6,5,4,5,5,4,6,4,6,5,5,5,5,3,4,3,2,2,2,3,2,4,3,2.8,Female
12197,47,48,45,85,4,28,9,2,1,4,3,4,3,5,2,2,5,4,4,4,4,3,3,2,4,2,4,4,5,3,4,2,2,5,4,3,2,4,1,4,5,3,2,1,4,2,5,2,4,5,4,5,3,2,3,4,4,5,2,3,3,4,4,4,5,2,3,3,2,2,3,2,4,2,3,2,4,3,4,2,4,2,3,1,2,4,2,4,1,4,3,4,3,1,5,4,2,3,4,4,3,2,3,2,4,3,4,3.6,3,3.3,4.4,4.3,4.35,2.7,4,3.35,2.8,2.4,2.6,2.3,3.7,3,6,6,5,5,7,7,5,6,5,5,6,5,6,6,6,6,5.75,3,4,3,3,3,2,3,3,3,2,2.9,Female
12602,34,42,42,84,3.67,27,18,2,3,3,2,2,5,4,5,2,4,5,4,5,2,4,1,3,4,5,2,4,4,5,3,2,5,4,2,2,5,4,3,3,1,2,2,2,2,2,2,1,4,3,5,5,4,3,4,5,5,5,2,4,4,4,2,3,4,3,2,5,4,2,4,3,3,3,3,4,2,3,4,2,4,3,2,2,2,2,2,3,2,5,3,4,5,4,3,3,1,3,4,5,4,3,5,5,4,5,4,3.9,4.4,4.15,3.6,3.1,3.35,1.9,2.9,2.4,3.4,2.9,3.15,2.2,3.3,2.75,2,2,2,6,3,4,2,4,3,3,6,NA,4,3,3,3,NA,5,5,4,3,3,3,4,3,5,5,4,Female
12989,47,42,48,89,4.1,28,0,5,2,4,4,4,2,4,3,3,4,2,5,2,1,2,4,2,3,4,2,4,5,3,2,3,1,4,3,2,4,2,2,2,2,3,4,1,4,4,2,1,5,4,4,3,3,2,2,2,5,2,2,2,2,5,5,5,4,4,5,2,2,3,1,4,2,2,2,4,3,3,4,3,4,4,4,1,1,3,3,2,2,2,5,2,2,2,3,3,3,2,4,3,5,4,2,4,3,3,3,2.3,1.9,2.1,4.3,3.9,4.1,3.6,3.6,3.6,4.4,3.6,4,3.4,2.6,3,6,6,6,5,6,7,5,6,6,4,7,5,6,6,6,6,5.8125,2,4,2,2,3,2,2,2,4,2,2.5,Male
12554,30,30,23,76,3.38,24,19,5,2,4,4,5,4,4,2,5,4,5,4,3,4,1,2,5,5,5,1,5,4,3,2,5,4,4,5,2,3,2,2,2,2,3,3,2,3,4,2,2,4,5,3,4,4,4,3,2,5,5,2,2,1,4,5,3,5,5,3,1,1,4,2,3,5,4,3,4,2,1,5,5,5,5,2,2,2,4,4,2,2,3,5,2,5,5,2,4,2,5,4,2,5,4,4,4,5,4,4,3.1,3.8,3.45,4.2,2.9,3.55,3.9,3.9,3.9,4.1,3.9,4,3.8,2.6,3.2,7,7,7,5,7,7,4,7,7,5,7,5,7,7,7,7,6.4375,1,2,3,2,2,1,1,1,2,3,1.8,Male
